,county_fips,Target,date of day t,death t
0,1,0.0,1.0,0.0
1,1,0.0,2.0,0.0
2,1,0.0,3.0,0.0
3,1,0.14285714285714285,4.0,0.0
4,1,2.2857142857142856,5.0,0.14285714285714285
5,1,5.857142857142857,6.0,2.2857142857142856
6,1,58.0,7.0,5.857142857142857
7,1,346.7142857142857,8.0,58.0
8,1,1143.0,9.0,346.7142857142857
9,1,2091.1428571428573,10.0,1143.0
10,1,2148.1428571428573,11.0,2091.1428571428573
11,1,2203.0,12.0,2148.1428571428573
12,1,1935.2857142857142,13.0,2203.0
13,1,1754.5714285714287,14.0,1935.2857142857142
14,1,1425.0,15.0,1754.5714285714287
15,1,1222.2857142857142,16.0,1425.0
16,1,948.1428571428571,17.0,1222.2857142857142
17,1,873.8571428571429,18.0,948.1428571428571
18,1,744.8571428571429,19.0,873.8571428571429
19,1,603.4285714285714,20.0,744.8571428571429
20,1,563.2857142857143,21.0,603.4285714285714
21,1,520.5714285714286,22.0,563.2857142857143
22,1,747.4285714285714,23.0,520.5714285714286
23,1,780.8571428571429,24.0,747.4285714285714
24,1,915.4285714285714,25.0,780.8571428571429
25,1,1138.4285714285713,26.0,915.4285714285714
26,1,1038.2857142857142,27.0,1138.4285714285713
27,1,1007.7142857142857,28.0,1038.2857142857142
28,1,979.4285714285714,29.0,1007.7142857142857
29,1,913.8571428571429,30.0,979.4285714285714
30,1,833.0,31.0,913.8571428571429
31,1,735.0,32.0,833.0
32,1,799.1428571428571,33.0,735.0
33,1,770.7142857142857,34.0,799.1428571428571
34,1,701.0,35.0,770.7142857142857
35,1,715.2857142857143,36.0,701.0
36,1,717.8571428571429,37.0,715.2857142857143
